
Successfully installed numpy-1.20.3
[01;32mroot@template[00m:[01;34m~/critical_iot/ns-3-allinone/ns-3.33[00m# python3.8 -m pip install numpy[1P-[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[C[7P../../evo.py
energy: 2.15613	throughput: 125334.0
[[0, 5, 80, 0, 1, 1600, 1, 1, 3, 5.0262933762570425e-06], [0, 6, 20, 0, 1, 1600, 0, 1, 3, 5.0262933762570425e-06], [0, 5, 20, 1, 0, 1600, 0, 1, 1, 5.695734261608354e-06], [0, 6, 20, 1, 1, 3200, 0, 1, 4, 5.708565802428618e-06], [0, 6, 20, 1, 1, 3200, 1, 0, 1, 5.8287653947102765e-06], [1, 5, 20, 0, 0, 1, 0, 1, 13, 1.6239206133570684e-05], [1, 5, 160, 0, 0, 1, 0, 1, 11, 1.6333952747544467e-05], [1, 5, 160, 0, 1, 0, 1, 0, 19, 1.6334461439859938e-05], [1, 5, 160, 0, 1, 1, 0, 1, 17, 1.6488395717746347e-05], [1, 5, 160, 0, 1, 1, 1, 0, 10, 1.6498108902225556e-05], [1, 5, 40, 0, 1, 0, 0, 1, 9, 1.6620796422120927e-05], [1, 5, 40, 0, 1, 0, 0, 0, 14, 1.7002234399973905e-05], [1, 5, 160, 0, 0, 1, 1, 1, 1, 1.720307338790751e-05], [1, 5, 20, 1, 0, 1, 0, 0, 18, 1.7717533041130004e-05], [1, 5, 160, 1, 1, 1, 0, 0, 9, 1.799927692812161e-05], [1, 5, 80, 1, 0, 1, 1, 1, 16, 1.8170237795143267e-05], [0, 6, 80, 0, 0, 3200, 0, 0, 9, 1.857747950752751e-05], [0, 6, 80, 0, 0, 800, 1, 0, 10, 1.8865484471441168e-05], [0, 5, 80, 0, 0, 800, 0, 1, 10, 1.88766859344894e-05], [0, 5, 40, 0, 0, 3200, 1, 0, 10, 1.8921295842722316e-05], [0, 5, 40, 0, 1, 3200, 1, 1, 7, 1.8933899412148925e-05], [0, 6, 80, 0, 1, 3200, 0, 0, 10, 1.976744717677411e-05], [0, 6, 160, 1, 1, 1600, 0, 1, 7, 2.0768382570342313e-05], [0, 6, 20, 1, 1, 3200, 0, 0, 8, 2.0800105743911895e-05], [1, 5, 160, 0, 0, 1, 1, 1, 23, 0.0001332524240590273]]
Run: 0	 Scenario: 0
energy: 2.11986	throughput: 127963.0
energy: 2.11986	throughput: 127963.0
energy: 2.10603	throughput: 118867.0
energy: 2.08495	throughput: 122628.0
energy: 2.14078	throughput: 118937.0
energy: 0.567941	throughput: 30621.0
energy: 0.567941	throughput: 30621.0
energy: 0.639173	throughput: 128071.0
energy: 0.64326	throughput: 127979.0
energy: 0.64326	throughput: 127979.0
energy: 0.675759	throughput: 118643.0
energy: 0.676069	throughput: 119035.0
energy: 0.676069	throughput: 119035.0
energy: 2.07977	throughput: 128081.0
energy: 2.12575	throughput: 127897.0
energy: 2.11002	throughput: 127970.0
energy: 2.10016	throughput: 118869.0
energy: 0.598952	throughput: 30621.0
[[0, 5, 80, 0, 0, 800, 0, 1, 1, 4.990770744352742e-06], [0, 5, 80, 0, 1, 1600, 1, 1, 3, 5.0262933762570425e-06], [0, 6, 20, 0, 1, 1600, 0, 1, 3, 5.0262933762570425e-06], [0, 6, 80, 0, 1, 1600, 0, 1, 3, 5.0262933762570425e-06], [0, 6, 80, 0, 1, 1600, 0, 1, 3, 5.0262933762570425e-06], [0, 5, 20, 1, 1, 3200, 0, 0, 4, 5.679581635653379e-06], [0, 5, 20, 1, 1, 3200, 0, 0, 4, 5.679581635653379e-06], [0, 5, 20, 0, 0, 800, 0, 1, 7, 5.679581635653379e-06], [0, 5, 20, 0, 0, 800, 0, 1, 7, 5.679581635653379e-06], [0, 5, 20, 1, 0, 1600, 0, 1, 1, 5.695734261608354e-06], [1, 5, 40, 0, 1, 1, 0, 1, 3, 5.695734261608354e-06], [1, 5, 40, 0, 1, 1, 0, 1, 3, 5.695734261608354e-06], [0, 6, 20, 1, 1, 3200, 0, 1, 4, 5.708565802428618e-06], [0, 6, 20, 1, 1, 3200, 1, 0, 1, 5.8287653947102765e-06], [1, 5, 20, 0, 0, 1, 0, 0, 14, 1.623792756146501e-05], [1, 5, 20, 0, 0, 1, 0, 1, 13, 1.6239206133570684e-05], [1, 5, 160, 0, 0, 1, 0, 1, 11, 1.6333952747544467e-05], [1, 5, 80, 0, 1, 1, 1, 0, 17, 1.6488395717746347e-05], [1, 5, 40, 0, 1, 0, 0, 1, 14, 1.6566194915717827e-05], [1, 5, 20, 0, 1, 0, 0, 0, 9, 1.6620796422120927e-05], [1, 5, 160, 1, 1, 0, 0, 1, 19, 1.7667852846410754e-05], [1, 5, 20, 1, 0, 1, 1, 0, 18, 1.7717533041130004e-05], [1, 5, 160, 1, 1, 0, 0, 0, 9, 1.799927692812161e-05], [0, 6, 20, 1, 0, 1600, 0, 1, 1, 1.8547434766989975e-05], [0, 5, 40, 0, 1, 1600, 1, 1, 11, 1.956017112439176e-05]]
Run: 1	 Scenario: 0
energy: 2.11123	throughput: 127968.0
energy: 2.11123	throughput: 127968.0
energy: 2.08495	throughput: 122628.0
energy: 2.08495	throughput: 122628.0
energy: 2.10016	throughput: 118869.0
energy: 0.567937	throughput: 30621.0
energy: 0.639173	throughput: 128071.0
energy: 0.64326	throughput: 127979.0
energy: 0.64326	throughput: 127979.0
energy: 0.664672	throughput: 82355.3
energy: 0.664672	throughput: 82355.3
energy: 0.676556	throughput: 118699.0
energy: 0.676556	throughput: 118699.0
energy: 2.25204	throughput: 117616.0
energy: 2.11002	throughput: 127970.0
energy: 2.085	throughput: 128035.0
energy: 0.656193	throughput: 125270.0
energy: 0.644726	throughput: 127926.0
[[0, 5, 80, 0, 0, 800, 0, 1, 1, 4.990770744352742e-06], [0, 5, 80, 0, 1, 1600, 1, 1, 3, 5.0262933762570425e-06], [0, 6, 20, 0, 1, 1600, 0, 1, 3, 5.0262933762570425e-06], [0, 6, 80, 0, 1, 1600, 0, 1, 3, 5.0262933762570425e-06], [0, 6, 80, 0, 1, 1600, 0, 1, 3, 5.0262933762570425e-06], [0, 5, 80, 0, 1, 1600, 0, 1, 3, 5.0262933762570425e-06], [0, 5, 20, 0, 1, 1600, 0, 1, 3, 5.0262933762570425e-06], [0, 5, 40, 0, 1, 3200, 0, 0, 4, 5.0398355299157324e-06], [0, 6, 20, 0, 1, 3200, 0, 0, 2, 5.2382294244432025e-06], [0, 5, 20, 1, 1, 3200, 0, 0, 4, 5.679581635653379e-06], [0, 5, 20, 1, 1, 3200, 0, 0, 4, 5.679581635653379e-06], [0, 5, 20, 1, 0, 3200, 1, 0, 1, 5.699761581816191e-06], [0, 5, 20, 1, 0, 3200, 1, 0, 1, 5.699761581816191e-06], [0, 5, 80, 1, 1, 1600, 1, 0, 5, 8.070785972487503e-06], [0, 5, 80, 1, 1, 1600, 1, 0, 5, 8.070785972487503e-06], [0, 5, 20, 0, 0, 800, 0, 0, 7, 8.070785972487503e-06], [1, 5, 160, 0, 1, 1, 0, 1, 15, 1.6284609677041435e-05], [1, 5, 20, 0, 1, 0, 1, 1, 17, 1.6488395717746347e-05], [1, 5, 40, 0, 1, 1, 0, 1, 10, 1.6498108902225556e-05], [1, 5, 40, 0, 1, 1, 0, 1, 10, 1.6498108902225556e-05], [1, 5, 80, 1, 1, 0, 0, 1, 19, 1.6498108902225556e-05], [1, 5, 20, 0, 1, 0, 0, 0, 14, 1.7002234399973905e-05], [1, 5, 20, 0, 1, 0, 0, 0, 14, 1.7002234399973905e-05], [0, 5, 40, 0, 0, 800, 0, 1, 1, 1.854730413768329e-05], [1, 5, 160, 1, 0, 0, 0, 1, 0, 1.9147394912256835e-05]]
Run: 2	 Scenario: 0
energy: 2.11517	throughput: 128071.0
energy: 2.11517	throughput: 128071.0
energy: 2.16804	throughput: 119127.0
energy: 2.16804	throughput: 119127.0
energy: 0.567937	throughput: 30621.0
energy: 0.629483	throughput: 128063.0
energy: 0.629483	throughput: 128063.0
energy: 0.637507	throughput: 128065.0
energy: 0.637507	throughput: 128065.0
energy: 0.6501	throughput: 85287.3
energy: 0.676069	throughput: 119035.0
energy: 0.674339	throughput: 118812.0
energy: 0.674339	throughput: 118812.0
energy: 2.10656	throughput: 127871.0
energy: 2.13202	throughput: 119023.0
energy: 2.10504	throughput: 118963.0
energy: 0.584401	throughput: 30621.0
energy: 0.597983	throughput: 28748.7
[[0, 5, 20, 0, 0, 1600, 0, 1, 4, 4.915416630876991e-06], [0, 5, 20, 0, 0, 1600, 0, 1, 4, 4.915416630876991e-06], [0, 5, 80, 0, 0, 800, 1, 0, 1, 4.915416630876991e-06], [0, 5, 80, 0, 0, 800, 1, 0, 1, 4.915416630876991e-06], [0, 5, 20, 1, 1, 1600, 0, 1, 3, 4.977995549135205e-06], [0, 5, 20, 1, 1, 1600, 0, 1, 3, 4.977995549135205e-06], [0, 5, 80, 0, 0, 800, 0, 1, 1, 4.990770744352742e-06], [0, 5, 80, 0, 1, 1600, 1, 1, 3, 5.0262933762570425e-06], [0, 6, 20, 0, 1, 1600, 0, 1, 3, 5.0262933762570425e-06], [0, 6, 80, 0, 1, 1600, 0, 1, 3, 5.0262933762570425e-06], [0, 6, 80, 0, 1, 1600, 0, 1, 3, 5.0262933762570425e-06], [0, 5, 80, 0, 1, 1600, 0, 1, 3, 5.0262933762570425e-06], [0, 5, 20, 0, 1, 1600, 0, 1, 3, 5.0262933762570425e-06], [0, 5, 80, 0, 0, 800, 0, 0, 7, 5.6756809076524255e-06], [0, 5, 80, 1, 0, 1600, 1, 0, 5, 7.622471340985117e-06], [1, 5, 20, 0, 1, 0, 0, 1, 4, 1.6474102806734912e-05], [1, 5, 20, 1, 1, 0, 1, 0, 6, 1.7694913544547464e-05], [1, 5, 40, 1, 1, 0, 1, 0, 3, 1.791267234064004e-05], [1, 5, 20, 1, 0, 0, 0, 0, 1, 1.819940063965348e-05], [1, 5, 20, 1, 0, 0, 0, 0, 1, 1.819940063965348e-05], [0, 5, 160, 1, 1, 3200, 0, 0, 4, 1.819940063965348e-05], [1, 5, 80, 0, 0, 1, 0, 1, 3, 1.854730413768329e-05], [1, 5, 80, 0, 0, 1, 0, 1, 3, 1.854730413768329e-05], [0, 5, 160, 0, 1, 800, 0, 0, 9, 1.9084974363998562e-05], [0, 6, 80, 1, 1, 800, 1, 1, 6, 2.0800349233182718e-05]]
Run: 3	 Scenario: 0
energy: 2.11986	throughput: 127963.0
energy: 2.09671	throughput: 118755.0
energy: 0.597983	throughput: 28748.7
energy: 0.628905	throughput: 128071.0
energy: 0.628905	throughput: 128071.0
energy: 0.661093	throughput: 127975.0
energy: 0.661093	throughput: 127975.0
energy: 0.661093	throughput: 127975.0
energy: 0.645605	throughput: 127918.0
energy: 0.64326	throughput: 127979.0
energy: 0.645605	throughput: 127918.0
energy: 0.673566	throughput: 118763.0
energy: 0.673566	throughput: 118763.0
energy: 2.08025	throughput: 111446.0
energy: 2.07987	throughput: 112030.0
energy: 2.10656	throughput: 127871.0
energy: 2.09553	throughput: 118881.0
energy: 0.651289	throughput: 87809.3
[[0, 5, 20, 0, 0, 1600, 0, 0, 3, 4.9105964660227536e-06], [0, 5, 20, 0, 0, 1600, 0, 0, 3, 4.9105964660227536e-06], [1, 5, 20, 1, 0, 0, 1, 0, 6, 4.9105964660227536e-06], [0, 5, 20, 0, 0, 1600, 0, 1, 4, 4.915416630876991e-06], [0, 5, 20, 0, 0, 1600, 0, 1, 4, 4.915416630876991e-06], [0, 5, 80, 0, 0, 800, 1, 0, 1, 4.915416630876991e-06], [0, 5, 80, 0, 0, 800, 1, 0, 1, 4.915416630876991e-06], [0, 5, 20, 1, 1, 1600, 0, 1, 3, 4.977995549135205e-06], [0, 5, 20, 1, 1, 1600, 0, 1, 3, 4.977995549135205e-06], [0, 5, 80, 0, 0, 800, 0, 1, 1, 4.990770744352742e-06], [0, 5, 80, 0, 1, 1600, 0, 1, 3, 5.047022311168092e-06], [0, 5, 80, 0, 1, 3200, 1, 1, 1, 5.165798007423325e-06], [0, 5, 80, 0, 1, 3200, 1, 1, 1, 5.165798007423325e-06], [0, 5, 80, 0, 1, 3200, 1, 1, 1, 5.165798007423325e-06], [0, 6, 160, 1, 1, 800, 1, 1, 6, 5.165798007423325e-06], [0, 5, 80, 1, 0, 800, 1, 1, 1, 5.671513855325312e-06], [0, 5, 80, 1, 0, 800, 1, 1, 1, 5.671513855325312e-06], [0, 5, 20, 0, 1, 3200, 0, 0, 3, 5.671513855325312e-06], [0, 5, 20, 0, 1, 3200, 0, 0, 3, 5.671513855325312e-06], [0, 6, 80, 1, 0, 3200, 0, 0, 5, 7.417084522937775e-06], [1, 5, 20, 0, 1, 1, 1, 1, 4, 1.6474102806734912e-05], [1, 5, 20, 1, 1, 0, 0, 1, 20, 1.7627122921240568e-05], [1, 5, 20, 0, 1, 1, 0, 1, 3, 1.7655761862658413e-05], [1, 5, 160, 0, 1, 0, 1, 0, 23, 1.8565295010265107e-05], [1, 5, 80, 0, 1, 0, 0, 0, 22, 1.8665990704018088e-05]]
Run: 4	 Scenario: 0
energy: 2.09671	throughput: 118755.0
energy: 2.10833	throughput: 118827.0
energy: 2.10833	throughput: 118827.0
energy: 2.10833	throughput: 118827.0
energy: 0.638855	throughput: 128072.0
energy: 0.638855	throughput: 128072.0
energy: 0.661093	throughput: 127975.0
energy: 0.661093	throughput: 127975.0
energy: 0.671662	throughput: 118643.0
energy: 0.671662	throughput: 118643.0
energy: 0.671662	throughput: 118643.0
energy: 0.674339	throughput: 118812.0
energy: 0.672143	throughput: 119049.0
energy: 2.20473	throughput: 115161.0
energy: 2.25204	throughput: 117616.0
energy: 2.07977	throughput: 128081.0
energy: 2.08495	throughput: 122628.0
energy: 0.577848	throughput: 30620.0
[[0, 5, 20, 0, 0, 1600, 0, 0, 3, 4.9105964660227536e-06], [0, 5, 20, 0, 0, 1600, 0, 0, 3, 4.9105964660227536e-06], [1, 5, 20, 1, 0, 0, 1, 0, 6, 4.9105964660227536e-06], [0, 5, 20, 0, 0, 1600, 0, 1, 4, 4.915416630876991e-06], [0, 5, 20, 0, 0, 1600, 0, 1, 4, 4.915416630876991e-06], [0, 5, 80, 0, 0, 800, 1, 0, 1, 4.915416630876991e-06], [0, 5, 80, 0, 0, 800, 1, 0, 1, 4.915416630876991e-06], [0, 5, 20, 1, 1, 1600, 0, 0, 3, 4.988248797551377e-06], [0, 5, 80, 0, 1, 3200, 1, 1, 1, 4.988248797551377e-06], [0, 5, 80, 0, 1, 3200, 1, 1, 1, 4.988248797551377e-06], [0, 5, 160, 1, 0, 1600, 1, 0, 1, 5.661202093675986e-06], [0, 5, 160, 1, 0, 1600, 1, 0, 1, 5.661202093675986e-06], [0, 5, 40, 0, 0, 800, 0, 1, 2, 5.661202093675986e-06], [0, 5, 40, 0, 0, 800, 0, 1, 2, 5.661202093675986e-06], [0, 5, 160, 1, 0, 1600, 1, 0, 1, 5.661202093675986e-06], [0, 5, 80, 1, 1, 1600, 0, 1, 3, 5.6756809076524255e-06], [1, 5, 40, 0, 0, 1, 0, 1, 14, 1.623792756146501e-05], [1, 5, 40, 0, 1, 1, 1, 0, 14, 1.7002234399973905e-05], [1, 5, 20, 1, 0, 1, 1, 0, 6, 1.7655761862658413e-05], [1, 5, 20, 1, 0, 1, 0, 1, 4, 1.774285305528205e-05], [1, 5, 20, 1, 0, 1, 0, 1, 4, 1.774285305528205e-05], [1, 5, 20, 1, 0, 1, 0, 1, 4, 1.774285305528205e-05], [0, 6, 40, 0, 1, 1600, 0, 0, 7, 1.8871587197909863e-05], [1, 5, 160, 0, 0, 0, 0, 0, 0, 1.9144762549821554e-05], [1, 5, 160, 1, 0, 1, 0, 0, 0, 1.9147394912256835e-05]]
Run: 5	 Scenario: 0
energy: 2.1307	throughput: 128061.0
energy: 2.1307	throughput: 128061.0
energy: 2.08579	throughput: 118758.0
energy: 2.09154	throughput: 118789.0
energy: 2.08579	throughput: 118758.0
energy: 0.568172	throughput: 30621.0
energy: 0.628905	throughput: 128071.0
energy: 0.661093	throughput: 127975.0
energy: 0.661093	throughput: 127975.0
energy: 0.661093	throughput: 127975.0
energy: 0.669502	throughput: 118719.0
energy: 0.671662	throughput: 118643.0
energy: 0.661143	throughput: 118602.0
energy: 2.1634	throughput: 127834.0
energy: 2.09712	throughput: 128081.0
energy: 2.10376	throughput: 118754.0
energy: 2.08793	throughput: 118733.0
energy: 0.578652	throughput: 30621.0
[[0, 5, 20, 0, 0, 1600, 0, 0, 3, 4.9105964660227536e-06], [0, 5, 20, 0, 0, 1600, 0, 0, 3, 4.9105964660227536e-06], [1, 5, 20, 1, 0, 0, 1, 0, 6, 4.9105964660227536e-06], [0, 6, 20, 0, 0, 1600, 0, 0, 3, 4.9105964660227536e-06], [0, 5, 20, 0, 0, 1600, 0, 1, 4, 4.915416630876991e-06], [0, 5, 20, 0, 0, 1600, 0, 1, 4, 4.915416630876991e-06], [0, 5, 80, 0, 0, 800, 1, 0, 1, 4.915416630876991e-06], [0, 5, 80, 0, 0, 800, 1, 0, 1, 4.915416630876991e-06], [0, 6, 20, 0, 1, 3200, 0, 1, 1, 5.165798007423325e-06], [0, 6, 20, 0, 1, 3200, 0, 1, 1, 5.165798007423325e-06], [0, 5, 20, 1, 0, 1600, 1, 0, 1, 5.165798007423325e-06], [0, 6, 20, 0, 1, 3200, 0, 1, 1, 5.165798007423325e-06], [0, 5, 20, 1, 0, 1600, 0, 1, 4, 5.5744675469216375e-06], [0, 5, 80, 1, 0, 800, 1, 0, 1, 5.639383754917073e-06], [1, 5, 160, 0, 0, 1, 1, 1, 18, 1.6373388714953818e-05], [1, 5, 40, 0, 0, 1, 1, 1, 2, 1.6638164624671055e-05], [1, 5, 40, 0, 0, 1, 1, 1, 2, 1.6638164624671055e-05], [1, 5, 80, 0, 1, 1, 0, 1, 1, 1.692351017726114e-05], [1, 5, 40, 1, 0, 0, 0, 1, 14, 1.7563364152309738e-05], [1, 5, 40, 1, 0, 0, 0, 1, 14, 1.7563364152309738e-05], [1, 5, 80, 1, 0, 1, 1, 0, 21, 1.7585085864923822e-05], [1, 5, 20, 1, 0, 0, 1, 0, 13, 1.760718585054172e-05], [1, 5, 40, 1, 0, 1, 0, 0, 11, 1.7715276959091903e-05], [0, 6, 40, 0, 0, 1600, 0, 0, 7, 1.855497860945103e-05], [0, 6, 20, 0, 0, 1600, 0, 1, 11, 1.8897227392965615e-05]]
Run: 6	 Scenario: 0
energy: 2.1634	throughput: 127834.0
energy: 2.1634	throughput: 127834.0
energy: 2.1634	throughput: 127834.0
energy: 2.1307	throughput: 128061.0
energy: 2.11517	throughput: 128071.0
energy: 2.11517	throughput: 128071.0
energy: 2.16804	throughput: 119127.0
energy: 2.16804	throughput: 119127.0
energy: 2.16804	throughput: 119127.0
energy: 0.579037	throughput: 28748.0
energy: 0.661143	throughput: 118602.0
energy: 0.665243	throughput: 118684.0
energy: 0.665243	throughput: 118684.0
energy: 2.25165	throughput: 114919.0
energy: 2.07977	throughput: 128081.0
energy: 2.07987	throughput: 112030.0
energy: 0.568861	throughput: 30621.0
energy: 0.579688	throughput: 30621.0
[[0, 5, 20, 0, 0, 1600, 0, 0, 3, 4.9105964660227536e-06], [0, 5, 20, 0, 0, 1600, 0, 0, 3, 4.9105964660227536e-06], [1, 5, 20, 1, 0, 0, 1, 0, 6, 4.9105964660227536e-06], [0, 6, 20, 0, 0, 1600, 0, 0, 3, 4.9105964660227536e-06], [0, 5, 20, 0, 0, 1600, 0, 1, 4, 4.915416630876991e-06], [0, 5, 20, 0, 0, 1600, 0, 1, 4, 4.915416630876991e-06], [0, 5, 80, 0, 0, 800, 1, 0, 1, 4.915416630876991e-06], [1, 5, 80, 0, 0, 1, 0, 1, 14, 1.623792756146501e-05], [0, 6, 20, 1, 0, 1600, 0, 1, 4, 1.651560462555926e-05], [0, 5, 40, 1, 0, 800, 0, 1, 8, 1.6638164624671055e-05], [1, 5, 20, 0, 1, 0, 0, 0, 1, 1.692351017726114e-05], [1, 5, 20, 0, 1, 0, 0, 0, 1, 1.692351017726114e-05], [0, 5, 20, 1, 0, 3200, 0, 1, 4, 1.692351017726114e-05], [1, 5, 20, 0, 1, 0, 0, 0, 1, 1.692351017726114e-05], [0, 5, 20, 1, 0, 3200, 0, 1, 4, 1.692351017726114e-05], [1, 5, 20, 1, 0, 0, 1, 1, 1, 1.819940063965348e-05], [1, 5, 20, 1, 0, 0, 1, 1, 1, 1.819940063965348e-05], [1, 5, 40, 0, 0, 1, 1, 0, 2, 1.819940063965348e-05], [1, 5, 20, 1, 0, 0, 1, 1, 1, 1.819940063965348e-05], [1, 5, 160, 0, 1, 1, 0, 0, 23, 1.8565295010265107e-05], [0, 5, 20, 0, 0, 3200, 1, 0, 9, 1.857747950752751e-05], [0, 6, 20, 0, 1, 3200, 1, 1, 8, 1.8931060383397015e-05], [1, 5, 20, 1, 1, 0, 1, 1, 0, 1.9593365761971478e-05], [1, 5, 20, 0, 0, 0, 0, 0, 3, 2.014181856129122e-05], [1, 5, 20, 0, 0, 0, 0, 0, 3, 2.014181856129122e-05]]
Run: 7	 Scenario: 0
energy: 2.1307	throughput: 128061.0
energy: 2.11836	throughput: 125367.0
energy: 2.11836	throughput: 125367.0
energy: 2.11836	throughput: 125367.0
energy: 2.18364	throughput: 118993.0
energy: 2.16804	throughput: 119127.0
energy: 2.08495	throughput: 122628.0
energy: 0.629483	throughput: 128063.0
energy: 0.629483	throughput: 128063.0
energy: 0.628905	throughput: 128071.0
energy: 0.665243	throughput: 118684.0
energy: 0.661143	throughput: 118602.0
energy: 0.661143	throughput: 118602.0
energy: 2.13852	throughput: 127972.0
energy: 2.08268	throughput: 127996.0
energy: 2.09708	throughput: 128034.0
energy: 0.56823	throughput: 30621.0
energy: 0.567937	throughput: 30621.0
[[0, 5, 20, 0, 0, 1600, 0, 0, 3, 4.9105964660227536e-06], [0, 5, 20, 0, 0, 1600, 0, 0, 3, 4.9105964660227536e-06], [1, 5, 20, 1, 0, 0, 1, 0, 6, 4.9105964660227536e-06], [0, 6, 20, 0, 0, 1600, 0, 0, 3, 4.9105964660227536e-06], [0, 5, 20, 0, 0, 1600, 0, 1, 4, 4.915416630876991e-06], [0, 5, 20, 0, 0, 1600, 0, 1, 4, 4.915416630876991e-06], [0, 5, 80, 0, 0, 800, 1, 0, 1, 4.915416630876991e-06], [0, 6, 80, 1, 0, 1600, 0, 1, 4, 4.915416630876991e-06], [1, 5, 20, 0, 0, 1, 1, 0, 2, 4.915416630876991e-06], [0, 6, 80, 1, 0, 1600, 0, 1, 4, 4.915416630876991e-06], [1, 5, 20, 1, 0, 1, 1, 1, 1, 5.5744675469216375e-06], [0, 5, 20, 1, 0, 3200, 1, 1, 4, 5.5744675469216375e-06], [1, 5, 40, 0, 1, 0, 1, 1, 21, 1.627144598268696e-05], [1, 5, 20, 0, 1, 0, 1, 1, 5, 1.6379086805067403e-05], [0, 5, 20, 0, 0, 1600, 1, 0, 3, 1.6638164624671055e-05], [1, 5, 160, 0, 1, 1, 1, 0, 2, 1.6710842996905575e-05], [1, 5, 20, 0, 0, 1, 0, 0, 9, 1.6897269616406232e-05], [1, 5, 20, 0, 0, 1, 0, 0, 9, 1.6897269616406232e-05], [1, 5, 80, 0, 1, 1, 0, 1, 14, 1.6897269616406232e-05], [1, 5, 20, 0, 0, 1, 0, 0, 9, 1.6897269616406232e-05], [0, 5, 20, 0, 0, 1600, 0, 1, 4, 1.7002234399973905e-05], [0, 5, 20, 0, 0, 1600, 0, 1, 4, 1.7002234399973905e-05], [1, 5, 40, 1, 0, 0, 0, 1, 8, 1.835099543670636e-05], [0, 5, 40, 0, 0, 800, 1, 0, 7, 1.854730413768329e-05], [0, 6, 40, 0, 0, 1600, 0, 0, 8, 1.8556872734397964e-05]]
Run: 8	 Scenario: 0
energy: 2.07977	throughput: 128081.0
energy: 2.16804	throughput: 119127.0
energy: 2.12575	throughput: 127897.0
energy: 2.09559	throughput: 128023.0
energy: 2.09559	throughput: 128023.0
energy: 2.09559	throughput: 128023.0
energy: 2.09559	throughput: 128023.0
energy: 0.569086	throughput: 30621.0
energy: 0.638855	throughput: 128072.0
energy: 0.638855	throughput: 128072.0
energy: 0.629483	throughput: 128063.0
energy: 0.629483	throughput: 128063.0
energy: 0.626735	throughput: 128076.0
energy: 2.13852	throughput: 127972.0
energy: 0.588668	throughput: 28748.0
energy: 0.614113	throughput: 91009.3
energy: 0.67064	throughput: 118917.0
energy: 0.687844	throughput: 118829.0
[[0, 5, 20, 0, 0, 1600, 0, 0, 3, 4.9105964660227536e-06], [0, 5, 20, 0, 0, 1600, 0, 0, 3, 4.9105964660227536e-06], [1, 5, 20, 1, 0, 0, 1, 0, 6, 4.9105964660227536e-06], [0, 6, 20, 0, 0, 1600, 0, 0, 3, 4.9105964660227536e-06], [0, 5, 20, 0, 0, 1600, 0, 1, 4, 4.915416630876991e-06], [0, 5, 20, 0, 0, 1600, 0, 1, 4, 4.915416630876991e-06], [0, 5, 80, 0, 0, 800, 1, 0, 1, 4.915416630876991e-06], [0, 5, 20, 0, 0, 1600, 1, 0, 9, 4.915416630876991e-06], [0, 5, 80, 0, 0, 800, 1, 1, 2, 4.988248797551377e-06], [0, 5, 80, 0, 0, 800, 1, 1, 2, 4.988248797551377e-06], [0, 5, 40, 1, 1, 1600, 0, 0, 4, 5.639563729323814e-06], [0, 5, 40, 1, 1, 1600, 1, 0, 1, 5.788519637462236e-06], [0, 5, 80, 0, 0, 1600, 1, 1, 5, 6.747804894664611e-06], [0, 5, 20, 0, 0, 1600, 0, 1, 4, 1.623792756146501e-05], [0, 5, 20, 0, 0, 1600, 0, 1, 4, 1.623792756146501e-05], [1, 5, 20, 0, 1, 0, 1, 0, 6, 1.6368855596260046e-05], [1, 5, 20, 0, 1, 0, 1, 0, 6, 1.6368855596260046e-05], [1, 5, 80, 0, 0, 1, 0, 1, 14, 1.6368855596260046e-05], [1, 5, 20, 0, 1, 0, 1, 0, 6, 1.6368855596260046e-05], [1, 5, 20, 0, 1, 0, 1, 0, 6, 1.6368855596260046e-05], [0, 6, 20, 0, 0, 800, 0, 0, 3, 1.6368855596260046e-05], [1, 5, 20, 0, 1, 1, 0, 0, 9, 1.6620796422120927e-05], [1, 5, 40, 0, 1, 0, 0, 1, 2, 1.6710842996905575e-05], [1, 5, 160, 1, 0, 1, 1, 1, 1, 1.8584827406028542e-05], [0, 5, 40, 1, 0, 800, 0, 0, 10, 2.04768331710032e-05]]
Run: 9	 Scenario: 0
